200 0 400 100
200 0 400 300
200 0 400 500
200 0 400 700
200 0 900 100
200 0 900 300
200 0 900 500
200 0 900 700
200 0 1400 100
200 0 1400 300
200 0 1400 500
200 0 1400 700
200 0 -400 100
200 0 -400 300
200 0 -400 500
200 0 -400 700
200 0 -900 100
200 0 -900 300
200 0 -900 500
200 0 -900 700
200 0 -1400 100
200 0 -1400 300
200 0 -1400 500
200 0 -1400 700
600 1000 1400 300
200 800 1200 700
200 800 1600 700
200 1200 1200 700
200 1200 1600 700
200 800 1200 900
200 800 1600 900
200 1200 1200 900
200 1200 1600 900
200 800 1200 1100
200 800 1600 1100
200 1200 1200 1100
200 1200 1600 1100
600 1000 300 300
200 800 100 700
200 800 500 700
200 1200 100 700
200 1200 500 700
200 800 100 900
200 800 500 900
200 1200 100 900
200 1200 500 900
200 800 100 1100
200 800 500 1100
200 1200 100 1100
200 1200 500 1100
600 1000 300 1500
700 -650 -650 350
700 -650 -1350 350
700 -1350 -650 350
700 -1350 -1350 350
500 -750 -750 950
500 -750 -1250 950
500 -1250 -750 950
500 -1250 -1250 950
300 -850 -850 1350
300 -850 -1150 1350
300 -1150 -850 1350
300 -1150 -1150 1350
200 -1000 -1000 1600
500 -1550 550 250
500 -1550 1050 250
500 -1550 1550 250
200 -1400 500 600
200 -1400 500 800
200 -1400 500 1000
200 -1400 500 1200
200 -1400 500 1400
200 -1400 800 600
200 -1400 800 800
200 -1400 800 1000
200 -1400 800 1200
200 -1400 1100 600
200 -1400 1100 800
200 -1400 1100 1000
200 -1400 1400 600
200 -1400 1400 800
200 -1400 1700 600
200 -1700 400 600
200 -1700 700 600
200 -1700 1000 600
200 -1700 1000 800
200 -1700 1000 1000
200 -1700 1300 600
200 -1700 1300 800
200 -1700 1300 1000
200 -1700 1300 1200
200 -1700 1600 600
200 -1700 1600 800
200 -1700 1600 1000
200 -1700 1600 1200
200 -1700 1600 1400
